time,"Brent crude oil spot price, Monthly (dollars per barrel)",avg,,,,,,,,,,,sno,x1,x2,x3,y
1990 01 ,21.251,,,,,,,,,,,,1,23,2,9,26
1990 02 ,19.813,,,,,,,,,,,,2,29,1,12,31
1990 03 ,18.387,,,,,,,,,,,,3,35,3,15,29
1990 04 ,16.612,,,,,,,,,,,,4,13,4,19,33
1990 05 ,16.352,,,,,,,,,,,,5,78,4,2,25
1990 06 ,15.104,,,,,,,,,,,,6,85,1,1.5,7
1990 07 ,17.169,,,,,,,,,,,,7,92,1,2.5,6
1990 08 ,27.167,17.81257143,,,,,,,,,,,8,81,2,2.2,6
1990 09 ,34.899,18.65771429,,,,,,,,,,,9,76,2,1.8,12
1990 10 ,36.022,20.81285714,,,,,,,,,,,10,98,2,1.1,4
1990 11 ,33.067,23.33214286,,,,,,,,,,,,,,,
1990 12 ,28.273,25.68285714,,,,,,,,,,,,,,,
1991 01 ,23.566,27.38585714,,,,,,,,,,,,,,,
1991 02 ,19.536,28.59471429,,,,,,,,,,,,,,,
1991 03 ,19.082,28.93285714,,,,,,,,,,,,,,,
1991 04 ,19.18,27.77785714,,,,,,,,,,,,,,,
1991 05 ,19.186,25.53228571,,,,,,,,,,,,,,,
1991 06 ,18.167,23.12714286,,,,,,,,,,,,,,,
1991 07 ,19.396,20.99857143,,,,,,,,,,,,,,,
1991 08 ,19.772,19.73042857,,,,,,,,,,,,,,,
1991 09 ,20.501,19.18842857,,,,,,,,,,,,,,,
1991 10 ,22.206,19.32628571,,,,,,,,,,,,,,,
1991 11 ,21.108,19.77257143,,,,,,,,,,,,,,,
1991 12 ,18.41,20.048,,,,,,,,,,,,,,,
1992 01 ,18.163,19.93714286,,,,,,,,,,,,,,,
1992 02 ,18.053,19.93657143,,,,,,,,,,,,,,,
1992 03 ,17.63,19.74471429,,,,,,,,,,,,,,,
1992 04 ,18.919,19.43871429,,,,,,,,,,,,,,,
1992 05 ,19.888,19.21271429,,,,,,,,,,,,,,,
1992 06 ,21.158,18.88157143,,,,,,,,,,,,,,,
1992 07 ,20.236,18.88871429,,,,,,,,,,,,,,,
1992 08 ,19.738,19.14957143,,,,,,,,,,,,,,,
1992 09 ,20.27,19.37457143,,,,,,,,,,,,,,,
1992 10 ,20.261,19.69128571,,,,,,,,,,,,,,,
1992 11 ,19.214,20.06714286,,,,,,,,,,,,,,,
1992 12 ,18.139,20.10928571,,,,,,,,,,,,,,,
1993 01 ,17.386,19.85942857,,,,,,,,,,,,,,,
