,,,SES forecast errors,,,,,,,,,
Date, Close ,SES,MAD,MSE,MAPE,Alpha,,,formula :,,,
12-04-2017,118.48,,1.164137032,1.891089892,99.07%,0.526,,,SES : yt-1+alpha*(y*t-1-yt-1),Error : abs(yt-y*t),Error squared : error^2,MAPE : D8/B8
12-11-2017,119.18,,1.11592872,1.375169041,,,,,,,,
12/18/2017,120.94,,,,,,,,,,,
12/25/2017,123.65,,,,,,,,,,,
01-01-2018,125.33,,,,,,,,,,,
01-08-2018,126.96,125.33,1.63,2.6569,98.72%,,,,,,,
1/15/2018,126.42,126.10262,0.31738,0.100730064,99.75%,,,,,,,
1/22/2018,128.07,126.2530581,1.81694188,3.301277795,98.58%,,,,,,,
1/29/2018,126.39,127.1142886,0.724288571,0.524593934,99.43%,,,,,,,
02-05-2018,124.77,126.7709758,2.000975788,4.003904106,98.40%,,,,,,,
02-12-2018,127.96,125.8225133,2.137486735,4.568849544,98.33%,,,,,,,
2/19/2018,126.14,126.835682,0.695681977,0.483973413,99.45%,,,,,,,
2/26/2018,125.39,126.5059287,1.11592872,1.245296908,99.11%,,,,,,,
03-05-2018,125.54,125.9769785,0.436978507,0.190950215,99.65%,,,,,,,
03-12-2018,124.6,125.7698507,1.169850695,1.368550648,99.06%,,,,,,,
3/19/2018,127.61,125.2153415,2.394658535,5.734389498,98.12%,,,,,,,
3/26/2018,125.79,126.3504096,0.560409611,0.314058932,99.55%,,,,,,,
04-02-2018,126.39,126.0847755,0.305224545,0.093162023,99.76%,,,,,,,
04-09-2018,127.45,126.2294519,1.220548111,1.48973769,99.04%,,,,,,,
4/16/2018,126.63,126.8079917,0.177991694,0.031681043,99.86%,,,,,,,
4/23/2018,125.5,126.7236236,1.223623631,1.49725479,99.03%,,,,,,,
4/30/2018,124.54,126.143626,1.60362603,2.571616444,98.71%,,,,,,,
05-07-2018,125,125.3835073,0.383507292,0.147077843,99.69%,,,,,,,
5/14/2018,122.41,125.2017248,2.791724835,7.793727557,97.72%,,,,,,,
5/21/2018,123.21,123.8784473,0.668447263,0.446821744,99.46%,,,,,,,
5/28/2018,122.49,123.5616033,1.071603261,1.148333548,99.13%,,,,,,,
06-04-2018,,123.0536633,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,1.164137032,,,,,,,,,
